split,system,beam_size,normalization,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
val_full,baseline_best_likelihood,8,zscore,0.442093,0.21264,0.3692,0.3692,0.196819,0.307084,0.639601,0.381168,23.851562
val_full,best_balanced,16,zscore,0.439926,0.21651,0.361018,0.361018,0.292839,0.484503,0.686408,0.487916,22.96875
val_full,best_factuality,16,zscore,0.439926,0.21651,0.361018,0.361018,0.292839,0.484503,0.686408,0.487916,22.96875
val_full,best_simple,16,zscore,0.438188,0.210407,0.357434,0.357434,0.194788,0.501091,0.686563,0.460814,23.40625
test_final,baseline_best_likelihood,8,zscore,0.440111,0.2065,0.356937,0.356937,0.146406,0.243811,0.606853,0.332357,24.96875
test_final,best_balanced,16,zscore,0.426333,0.196295,0.339825,0.339825,0.261301,0.425517,0.639128,0.441982,24.164062
test_final,best_factuality,16,zscore,0.426333,0.196295,0.339825,0.339825,0.261301,0.425517,0.639128,0.441982,24.164062
test_final,best_simple,16,zscore,0.435847,0.203836,0.352255,0.352255,0.156887,0.44885,0.629544,0.41176,24.421875
