system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0073,val_tune,16,zscore,0.0,0.5,1.0,0.75,0.461466,0.241139,0.378056,0.378056,0.312657,0.463497,0.678639,0.484931,23.328125
custom_0042,val_tune,16,zscore,0.0,0.25,0.75,0.5,0.462193,0.241139,0.378056,0.378056,0.312568,0.463549,0.678639,0.484919,23.328125
custom_0047,val_tune,16,zscore,0.0,0.25,1.0,0.5,0.461528,0.241139,0.378056,0.378056,0.312225,0.463566,0.678755,0.484849,23.328125
custom_0123,val_tune,16,zscore,0.0,1.0,1.0,0.75,0.459541,0.240374,0.379356,0.379356,0.327621,0.448719,0.678148,0.484829,23.25
custom_0117,val_tune,16,zscore,0.0,1.0,0.75,0.5,0.459055,0.238393,0.378656,0.378656,0.328447,0.447517,0.678144,0.484702,23.203125
custom_0222,val_tune,16,zscore,0.25,0.75,1.0,0.5,0.458024,0.239361,0.375285,0.375285,0.321614,0.459412,0.672619,0.484548,23.28125
custom_0247,val_tune,16,zscore,0.25,1.0,1.0,0.5,0.457752,0.238378,0.375077,0.375077,0.322742,0.457983,0.672743,0.484489,23.3125
custom_0068,val_tune,16,zscore,0.0,0.5,0.75,0.75,0.461892,0.240457,0.37745,0.37745,0.313559,0.458466,0.681438,0.484488,23.265625
custom_0037,val_tune,16,zscore,0.0,0.25,0.5,0.5,0.462236,0.24097,0.377833,0.377833,0.312657,0.459435,0.681349,0.48448,23.3125
custom_0074,val_tune,16,zscore,0.0,0.5,1.0,1.0,0.462236,0.24097,0.377833,0.377833,0.312657,0.459435,0.681349,0.48448,23.3125
custom_0099,val_tune,16,zscore,0.0,0.75,1.0,1.0,0.461597,0.24098,0.379442,0.379442,0.325301,0.446528,0.681502,0.484444,23.359375
custom_0046,val_tune,16,zscore,0.0,0.25,1.0,0.25,0.459533,0.237307,0.37508,0.37508,0.312957,0.467458,0.672578,0.484331,23.34375
custom_0197,val_tune,16,zscore,0.25,0.5,1.0,0.5,0.460602,0.240987,0.378152,0.378152,0.318315,0.461022,0.673352,0.484229,23.453125
custom_0031,val_tune,16,zscore,0.0,0.25,0.25,0.25,0.460674,0.240055,0.3785,0.3785,0.327697,0.443436,0.681534,0.484223,23.375
custom_0062,val_tune,16,zscore,0.0,0.5,0.5,0.5,0.460674,0.240055,0.3785,0.3785,0.327697,0.443436,0.681534,0.484223,23.375
custom_0093,val_tune,16,zscore,0.0,0.75,0.75,0.75,0.460674,0.240055,0.3785,0.3785,0.327697,0.443436,0.681534,0.484223,23.375
custom_0124,val_tune,16,zscore,0.0,1.0,1.0,1.0,0.460674,0.240055,0.3785,0.3785,0.327697,0.443436,0.681534,0.484223,23.375
custom_0094,val_tune,16,zscore,0.0,0.75,0.75,1.0,0.461104,0.240358,0.378891,0.378891,0.327547,0.443455,0.681631,0.484211,23.34375
custom_0118,val_tune,16,zscore,0.0,1.0,0.75,0.75,0.460427,0.237903,0.378604,0.378604,0.328728,0.442676,0.681035,0.484146,23.234375
custom_0119,val_tune,16,zscore,0.0,1.0,0.75,1.0,0.461059,0.237868,0.378207,0.378207,0.328076,0.442611,0.681612,0.4841,23.359375
custom_0248,val_tune,16,zscore,0.25,1.0,1.0,0.75,0.457783,0.238775,0.375885,0.375885,0.326735,0.447338,0.678154,0.484076,23.53125
